PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
24;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Park kultúry;;;;145;73;72;24;96;25;86;0;5;31;27;17;66;4;4;189;56;120;1;101;528595;;2041290;základná sídelná jednotka;;;
25;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Partizánska;;;;2 313;1 091;1 222;358;1 352;603;1 217;2;65;362;541;397;766;432;273;2 269;679;1 178;1;101;528595;;2041610;základná sídelná jednotka;;;
26;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Podhradie;;;;436;212;224;49;278;109;240;0;18;75;96;24;214;188;8;468;148;315;1;101;528595;;2041110;základná sídelná jednotka;;;
27;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Rajská ulica;;;;1 113;544;569;161;713;239;601;1;46;170;257;74;496;467;3;1 331;472;915;1;101;528595;;2042180;základná sídelná jednotka;;;
28;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Reduta;;;;2 578;1 322;1 256;269;1 699;610;1 319;2;88;387;527;94;805;740;2;2 306;700;1 668;1;101;528595;;2041020;základná sídelná jednotka;;;
29;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Rektorát techniky;;;;2;2;0;0;2;0;2;0;0;0;1;1;1;0;0;3;0;2;1;101;528595;;2045870;základná sídelná jednotka;;;
30;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Slavín;;;;2 686;1 324;1 362;389;1 714;583;1 401;4;82;354;558;358;743;458;251;2 074;600;1 081;1;101;528595;;2041700;základná sídelná jednotka;;;
31;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Sokolovňa;;;;1 144;550;594;178;676;290;594;4;38;176;255;126;453;368;72;1 145;406;673;1;101;528595;;2045100;základná sídelná jednotka;;;
32;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Štefánka;;;;1 765;877;888;283;1 127;355;1 011;3;64;288;430;77;671;651;1;1 567;503;961;1;101;528595;;2041880;základná sídelná jednotka;;;
33;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Vazovova;;;;1 829;877;952;307;1 191;331;1 039;1;87;315;449;75;803;783;1;2 372;889;1 503;1;101;528595;;2046090;základná sídelná jednotka;;;
34;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Vinárky;;;;906;441;465;145;511;250;451;1;37;143;177;187;285;97;163;875;289;462;1;101;528595;;2041370;základná sídelná jednotka;;;
35;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Žilinská ulica;;;;3 167;1 521;1 646;501;2 027;639;1 732;5;114;525;798;136;1 394;1 357;7;3 152;1 155;1 906;1;101;528595;;2061300;základná sídelná jednotka;;;
36;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice;;;m;4249;552;23 464;11 193;12 271;3 527;15 361;4 576;12 658;69;1 671;4 644;4 170;2 396;8 775;6 303;1 805;23 564;7 731;12 554;1;102;529311;;;obec;;;
37;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Dolné hony - juh;;;;5 134;2 368;2 766;693;3 234;1 207;2 770;10;339;1 074;899;128;2 042;2 040;0;4 746;1 746;2 570;1;102;529311;;2793910;základná sídelná jednotka;;;
38;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Hydrostav;;;;604;292;312;92;448;64;378;3;55;120;134;113;291;189;57;780;347;480;1;102;529311;;2793740;základná sídelná jednotka;;;
39;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Kopáč;;;;519;309;210;70;398;51;180;3;23;66;38;26;29;12;10;715;184;564;1;102;529311;;2794630;základná sídelná jednotka;;;
40;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Lesný hon;;;;903;441;462;235;581;87;493;3;67;179;179;255;309;36;267;1 147;413;451;1;102;529311;;2794210;základná sídelná jednotka;;;
41;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Majer;;;;2;1;1;0;2;0;2;0;0;1;1;1;1;0;1;1;1;1;1;102;529311;;2794550;základná sídelná jednotka;;;
42;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Medzi jarkami;;;;4 284;2 022;2 262;528;2 679;1 077;2 280;7;273;876;738;115;1 749;1 747;0;3 939;1 345;2 122;1;102;529311;;2793820;základná sídelná jednotka;;;
43;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Orenburská ulica;;;;2 485;1 219;1 266;375;1 658;452;1 314;8;212;480;412;670;723;34;645;2 436;805;1 122;1;102;529311;;2794120;základná sídelná jednotka;;;
44;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Piaty hon;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;102;529311;;2794470;základná sídelná jednotka;;;
45;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Podunajské Biskupice - centrum;;;;4 172;1 934;2 238;598;2 736;838;2 338;13;331;832;760;171;1 758;1 295;95;4 120;1 580;2 324;1;102;529311;;2794040;základná sídelná jednotka;;;
46;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Podunajské Biskupice - rozvodňa;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;102;529311;;2794390;základná sídelná jednotka;;;
47;Bratislavský;Bratislava II;Bratislava - Podunajské Biskupice; ;Podunajské Biskupice - západ;;;;5 361;2 607;2 754;936;3 625;800;2 903;22;371;1 016;1 009;917;1 873;950;730;5 680;2 001;2 920;1;102;529311;;2477580;základná sídelná jednotka;;;
48;Bratislavský;Bratislava II;Bratislava - Ružinov;;;m;3970;2040;81 004;37 575;43 429;12 557;52 283;16 164;43 814;116;4 017;14 032;18 036;4 885;34 707;30 132;2 402;87 005;22 020;50 963;1;102;529320;;;obec;;;
