PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
817;Trnavský;Dunajská Streda;Šamorín;Čilistov;;;;;402;235;167;51;303;48;183;2;33;56;30;59;60;2;51;202;59;92;2;201;501905;409303;;časť obce;;;
818;Trnavský;Dunajská Streda;Šamorín;Čilistov;Čilistov;;;;368;221;147;48;282;38;165;2;26;51;28;47;48;2;43;173;55;77;2;201;501905;409303;2603711;základná sídelná jednotka;;;
819;Trnavský;Dunajská Streda;Šamorín;Čilistov;Čilistov;;;;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;2;0;2;2;201;501905;409303;2603712;základná sídelná jednotka;;;
820;Trnavský;Dunajská Streda;Šamorín;Čilistov;Čilistov;;;;33;14;19;3;20;10;17;0;7;5;1;11;11;0;8;27;5;13;2;201;501905;409303;2603713;základná sídelná jednotka;;;
821;Trnavský;Dunajská Streda;Šamorín;Kráľovianky;;;;;118;60;58;29;82;7;67;1;18;14;24;40;43;2;36;115;47;52;2;201;501905;406193;;časť obce;;;
822;Trnavský;Dunajská Streda;Šamorín;Kráľovianky;Kráľovianky;;;;118;60;58;29;82;7;67;1;18;14;24;40;43;2;36;115;47;52;2;201;501905;406193;2377100;základná sídelná jednotka;;;
823;Trnavský;Dunajská Streda;Šamorín;Mliečno;;;;;1 637;801;836;303;1 122;212;880;8;188;282;242;475;503;38;457;1 671;552;685;2;201;501905;406200;;časť obce;;;
824;Trnavský;Dunajská Streda;Šamorín;Mliečno;Dunajské;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;501905;406200;2758830;základná sídelná jednotka;;;
825;Trnavský;Dunajská Streda;Šamorín;Mliečno;Mliečno;;;;1 637;801;836;303;1 122;212;880;8;188;282;242;475;503;38;457;1 671;551;685;2;201;501905;406200;2377280;základná sídelná jednotka;;;
826;Trnavský;Dunajská Streda;Šamorín;Šamorín;;;;;11 231;5 274;5 957;1 864;7 400;1 967;6 000;57;1 195;1 992;1 604;1 381;4 192;2 935;998;11 353;2 856;5 652;2;201;501905;409315;;časť obce;;;
827;Trnavský;Dunajská Streda;Šamorín;Šamorín;Čistá lúka;;;;740;355;385;114;434;192;374;7;76;126;100;228;250;26;208;688;209;309;2;201;501905;409315;2758670;základná sídelná jednotka;;;
828;Trnavský;Dunajská Streda;Šamorín;Šamorín;Dostihová;;;;239;111;128;63;160;16;106;2;25;35;19;14;76;71;5;254;74;117;2;201;501905;409315;2758410;základná sídelná jednotka;;;
829;Trnavský;Dunajská Streda;Šamorín;Šamorín;Dunajský rad;;;;650;300;350;133;475;42;386;2;71;123;120;38;268;242;9;716;282;364;2;201;501905;409315;2758750;základná sídelná jednotka;;;
830;Trnavský;Dunajská Streda;Šamorín;Šamorín;Hamuliakovská;;;;622;296;326;98;411;113;322;1;61;106;95;134;196;68;124;634;210;278;2;201;501905;409315;2757940;základná sídelná jednotka;;;
831;Trnavský;Dunajská Streda;Šamorín;Šamorín;Nové mesto;;;;2 872;1 334;1 538;471;1 863;538;1 463;7;297;482;398;181;1 101;995;85;2 711;851;1 343;2;201;501905;409315;2757860;základná sídelná jednotka;;;
832;Trnavský;Dunajská Streda;Šamorín;Šamorín;Podlesie;;;;23;10;13;5;16;2;12;0;1;7;1;7;7;0;5;22;9;10;2;201;501905;409315;2758910;základná sídelná jednotka;;;
833;Trnavský;Dunajská Streda;Šamorín;Šamorín;Priemyselný obvod;;;;441;229;212;74;310;57;249;6;40;81;76;136;141;4;131;435;142;174;2;201;501905;409315;2758160;základná sídelná jednotka;;;
834;Trnavský;Dunajská Streda;Šamorín;Šamorín;Roľnícke družstvo;;;;85;39;46;18;59;8;49;0;12;16;10;32;32;0;4;85;22;39;2;201;501905;409315;2758320;základná sídelná jednotka;;;
835;Trnavský;Dunajská Streda;Šamorín;Šamorín;Sad Mieru;;;;82;38;44;16;54;12;47;2;8;15;13;27;27;0;13;83;23;36;2;201;501905;409315;2758590;základná sídelná jednotka;;;
836;Trnavský;Dunajská Streda;Šamorín;Šamorín;Sídlisko - Šamorín;;;;1 061;506;555;175;666;220;561;5;116;188;140;347;350;4;342;1 047;294;468;2;201;501905;409315;2758080;základná sídelná jednotka;;;
837;Trnavský;Dunajská Streda;Šamorín;Šamorín;Šamorín - stred;;;;3 152;1 450;1 702;484;2 066;602;1 699;18;349;562;446;142;1 260;1 148;9;3 444;1 088;1 876;2;201;501905;409315;2603800;základná sídelná jednotka;;;
838;Trnavský;Dunajská Streda;Šamorín;Šamorín;Vodárenská;;;;1 264;606;658;213;886;165;732;7;139;251;186;95;484;377;63;1 234;427;638;2;201;501905;409315;2758240;základná sídelná jednotka;;;
839;Trnavský;Dunajská Streda;Štvrtok na Ostrove;;;m;1307;131;1 714;837;877;234;1 206;274;949;18;191;305;246;494;534;46;482;1 875;564;845;2;201;501913;;;obec;;;
840;Trnavský;Dunajská Streda;Štvrtok na Ostrove; ;Štvrtok na Ostrove;;;;1 714;837;877;234;1 206;274;949;18;191;305;246;494;534;46;482;1 875;564;845;2;201;501913;;2617930;základná sídelná jednotka;;;
841;Trnavský;Dunajská Streda;Topoľníky;;;m;3482;89;3 116;1 529;1 587;426;2 145;545;1 649;93;424;532;223;905;994;126;864;2 999;646;1 309;2;201;501921;;;obec;;;
842;Trnavský;Dunajská Streda;Topoľníky; ;Dolné Topoľníky;;;;1 992;981;1 011;277;1 371;344;1 085;69;273;350;155;597;658;93;562;1 933;436;859;2;201;501921;;2639230;základná sídelná jednotka;;;
843;Trnavský;Dunajská Streda;Topoľníky; ;Horné Topoľníky;;;;964;461;503;112;655;197;506;23;136;176;64;299;307;7;299;935;246;403;2;201;501921;;2639310;základná sídelná jednotka;;;
844;Trnavský;Dunajská Streda;Topoľníky; ;Jánoštelek;;;;160;87;73;37;119;4;58;1;15;6;4;9;29;26;3;131;15;47;2;201;501921;;2639400;základná sídelná jednotka;;;
845;Trnavský;Dunajská Streda;Trhová Hradská;;;m;2476;89;2 211;1 048;1 163;287;1 554;370;1 161;42;297;326;220;632;703;89;595;2 142;474;962;2;201;555576;;;obec;;;
846;Trnavský;Dunajská Streda;Trhová Hradská; ;Trhová Hradská;;;;2 211;1 048;1 163;287;1 554;370;1 161;42;297;326;220;632;703;89;595;2 142;474;962;2;201;555576;;2647330;základná sídelná jednotka;;;
847;Trnavský;Dunajská Streda;Trnávka;;;m;797;65;522;232;290;87;361;74;286;5;63;98;62;169;179;15;161;575;199;275;2;201;501956;;;obec;;;
848;Trnavský;Dunajská Streda;Trnávka; ;Trnávka;;;;522;232;290;87;361;74;286;5;63;98;62;169;179;15;161;575;199;275;2;201;501956;;2652920;základná sídelná jednotka;;;
849;Trnavský;Dunajská Streda;Trstená na Ostrove;;;m;625;92;578;270;308;64;403;111;331;9;104;100;60;180;183;0;178;582;175;264;2;201;501964;;;obec;;;
850;Trnavský;Dunajská Streda;Trstená na Ostrove; ;Trstená na Ostrove;;;;578;270;308;64;403;111;331;9;104;100;60;180;183;0;178;582;175;264;2;201;501964;;2654890;základná sídelná jednotka;;;
851;Trnavský;Dunajská Streda;Veľká Paka;;;m;1836;54;984;471;513;167;670;147;541;13;101;198;114;287;321;36;273;1 081;345;488;2;201;501972;;;obec;;;
852;Trnavský;Dunajská Streda;Veľká Paka;Čukárska Paka;;;;;123;58;65;14;80;29;64;1;8;26;15;46;46;0;46;141;55;65;2;201;501972;410226;;časť obce;;;
853;Trnavský;Dunajská Streda;Veľká Paka;Čukárska Paka;Čukárska Paka;;;;123;58;65;14;80;29;64;1;8;26;15;46;46;0;46;141;55;65;2;201;501972;410226;2678640;základná sídelná jednotka;;;
854;Trnavský;Dunajská Streda;Veľká Paka;Malá Paka;;;;;174;82;92;31;122;21;99;0;16;33;23;49;57;8;45;202;66;93;2;201;501972;410238;;časť obce;;;
855;Trnavský;Dunajská Streda;Veľká Paka;Malá Paka;Malá Paka;;;;174;82;92;31;122;21;99;0;16;33;23;49;57;8;45;202;66;93;2;201;501972;410238;2678720;základná sídelná jednotka;;;
856;Trnavský;Dunajská Streda;Veľká Paka;Veľká Paka;;;;;687;331;356;122;468;97;378;12;77;139;76;192;218;28;182;738;237;330;2;201;501972;410240;;časť obce;;;
857;Trnavský;Dunajská Streda;Veľká Paka;Veľká Paka;Veľká Paka;;;;687;331;356;122;468;97;378;12;77;139;76;192;218;28;182;738;237;330;2;201;501972;410240;2678811;základná sídelná jednotka;;;
858;Trnavský;Dunajská Streda;Veľká Paka;Veľká Paka;Veľká Paka;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;501972;410240;2678812;základná sídelná jednotka;;;
859;Trnavský;Dunajská Streda;Veľké Blahovo;;;m;1813;88;1 589;795;794;240;1 099;250;773;35;198;215;149;418;514;92;414;1 584;397;757;2;201;501981;;;obec;;;
860;Trnavský;Dunajská Streda;Veľké Blahovo; ;Veľké Blahovo;;;;1 589;795;794;240;1 099;250;773;35;198;215;149;418;514;92;414;1 584;397;757;2;201;501981;;2679530;základná sídelná jednotka;;;
861;Trnavský;Dunajská Streda;Veľké Blahovo; ;Vydrany;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;501981;;2707922;základná sídelná jednotka;;;
862;Trnavský;Dunajská Streda;Veľké Dvorníky;;;;799;172;1 374;683;691;236;990;148;753;24;166;249;147;366;423;58;347;1 338;403;565;2;201;555673;;;obec;;;
863;Trnavský;Dunajská Streda;Veľké Dvorníky; ;Bušlak;;;;30;17;13;3;21;6;14;0;5;3;4;3;7;6;1;28;10;14;2;201;555673;;2141080;základná sídelná jednotka;;;
864;Trnavský;Dunajská Streda;Veľké Dvorníky; ;Veľké Dvorníky;;;;1 344;666;678;233;969;142;739;24;161;246;143;363;416;52;346;1 310;393;551;2;201;555673;;2141241;základná sídelná jednotka;;;
865;Trnavský;Dunajská Streda;Veľký Meder;;;m;5555;152;8 446;4 042;4 404;1 150;5 746;1 550;4 442;173;1 055;1 419;833;1 808;2 933;1 232;1 616;8 208;1 110;3 978;2;201;501522;;;obec;;;
866;Trnavský;Dunajská Streda;Veľký Meder;Ižop;;;;;583;303;280;76;399;108;274;30;57;85;37;172;172;0;164;563;136;218;2;201;501522;403982;;časť obce;;;
867;Trnavský;Dunajská Streda;Veľký Meder;Ižop;Ižop;;;;583;303;280;76;399;108;274;30;57;85;37;172;172;0;164;563;136;218;2;201;501522;403982;2215380;základná sídelná jednotka;;;
868;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;;;;;7 863;3 739;4 124;1 074;5 347;1 442;4 168;143;998;1 334;796;1 636;2 761;1 232;1 452;7 645;1 061;3 760;2;201;501522;401973;;časť obce;;;
869;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Družstevná;;;;551;254;297;76;342;133;270;9;58;94;50;179;203;28;171;543;147;264;2;201;501522;401973;2756540;základná sídelná jednotka;;;
870;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Lesopark;;;;39;21;18;9;25;5;21;0;5;8;4;15;15;0;14;43;14;19;2;201;501522;401973;2756620;základná sídelná jednotka;;;
871;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Lopatné;;;;3;1;2;1;2;0;2;0;0;0;2;1;1;0;1;3;1;1;2;201;501522;401973;2757350;základná sídelná jednotka;;;
872;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Nový Dvor;;;;171;83;88;32;129;10;51;1;16;8;5;10;10;0;9;311;52;210;2;201;501522;401973;2087100;základná sídelná jednotka;;;
873;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Ošipáreň;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;501522;401973;2757190;základná sídelná jednotka;;;
874;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Pri Mostovej;;;;1 123;557;566;209;746;168;598;24;130;197;118;348;356;12;308;1 098;326;467;2;201;501522;401973;2756380;základná sídelná jednotka;;;
875;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Priemyselný obvod I;;;;106;47;59;18;76;12;57;2;14;17;12;35;35;0;35;93;32;40;2;201;501522;401973;2756710;základná sídelná jednotka;;;
876;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Priemyselný obvod II;;;;124;59;65;13;75;36;61;2;15;15;16;46;52;13;38;131;34;72;2;201;501522;401973;2756970;základná sídelná jednotka;;;
877;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Šarkanovská pusta;;;;37;20;17;11;24;2;16;3;4;2;4;9;9;1;8;36;7;14;2;201;501522;401973;2087280;základná sídelná jednotka;;;
878;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Táborová;;;;803;388;415;91;553;159;427;12;97;150;74;273;274;1;271;766;228;346;2;201;501522;401973;2756890;základná sídelná jednotka;;;
879;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Veľký Meder - sídlisko;;;;1 345;636;709;147;859;339;700;30;165;236;117;454;479;33;444;1 295;367;607;2;201;501522;401973;2756200;základná sídelná jednotka;;;
880;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Veľký Meder - Staré mesto;;;;1 746;790;956;208;1 140;398;939;29;214;310;186;141;745;666;67;1 731;502;896;2;201;501522;401973;2087010;základná sídelná jednotka;;;
881;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Veľký Meder - stred I;;;;536;284;252;118;354;64;200;6;61;47;39;67;67;0;64;421;75;216;2;201;501522;401973;2756460;základná sídelná jednotka;;;
882;Trnavský;Dunajská Streda;Veľký Meder;Veľký Meder;Veľký Meder - stred II;;;;1 279;599;680;141;1 022;116;826;25;219;250;169;58;515;478;22;1 174;471;608;2;201;501522;401973;2800110;základná sídelná jednotka;;;
883;Trnavský;Dunajská Streda;Vieska;;;;669;61;407;209;198;39;267;101;217;5;52;65;47;135;145;11;132;389;125;186;2;201;555746;;;obec;;;
884;Trnavský;Dunajská Streda;Vieska; ;Poteho osada;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;555746;;3501170;základná sídelná jednotka;;;
885;Trnavský;Dunajská Streda;Vieska; ;Vieska;;;;407;209;198;39;267;101;217;5;52;65;47;135;145;11;132;389;125;186;2;201;555746;;2442870;základná sídelná jednotka;;;
886;Trnavský;Dunajská Streda;Vieska;Orechová Potôň-Lúky;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;555746;407252;;časť obce;;;
887;Trnavský;Dunajská Streda;Vieska;Orechová Potôň-Lúky;Blatná lúka;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;201;555746;407252;2442790;základná sídelná jednotka;;;
888;Trnavský;Dunajská Streda;Vojka nad Dunajom;;;m;821;56;460;239;221;59;301;100;236;6;56;55;68;176;177;0;154;570;154;274;2;201;501999;;;obec;;;
889;Trnavský;Dunajská Streda;Vojka nad Dunajom; ;Vojka nad Dunajom;;;;460;239;221;59;301;100;236;6;56;55;68;176;177;0;154;570;154;274;2;201;501999;;2700241;základná sídelná jednotka;;;
890;Trnavský;Dunajská Streda;Vrakúň;;;m;3834;73;2 794;1 374;1 420;396;1 962;436;1 572;72;418;452;281;737;901;191;707;2 754;735;1 250;2;201;502006;;;obec;;;
891;Trnavský;Dunajská Streda;Vrakúň;Nekyje na Ostrove;;;;;1 319;634;685;209;876;234;720;25;199;209;128;380;469;100;369;1 382;400;640;2;201;502006;410743;;časť obce;;;
892;Trnavský;Dunajská Streda;Vrakúň;Nekyje na Ostrove;Nekyje na Ostrove;;;;1 319;634;685;209;876;234;720;25;199;209;128;380;469;100;369;1 382;400;640;2;201;502006;410743;2702530;základná sídelná jednotka;;;
893;Trnavský;Dunajská Streda;Vrakúň;Vrakúň;;;;;1 475;740;735;187;1 086;202;852;47;219;243;153;357;432;91;338;1 372;408;610;2;201;502006;410755;;časť obce;;;
894;Trnavský;Dunajská Streda;Vrakúň;Vrakúň;Dedinská lúka;;;;23;12;11;0;20;3;12;1;3;3;0;2;5;4;1;25;5;10;2;201;502006;410755;2702370;základná sídelná jednotka;;;
895;Trnavský;Dunajská Streda;Vrakúň;Vrakúň;Mlynisko;;;;75;35;40;21;51;3;13;0;4;3;0;5;7;2;5;43;3;19;2;201;502006;410755;2702450;základná sídelná jednotka;;;
896;Trnavský;Dunajská Streda;Vrakúň;Vrakúň;Vrakúň;;;;1 377;693;684;166;1 015;196;827;46;212;237;153;350;420;85;332;1 304;403;581;2;201;502006;410755;2702610;základná sídelná jednotka;;;
897;Trnavský;Dunajská Streda;Vydrany;;;;1605;111;1 783;861;922;257;1 241;285;1 004;34;239;336;165;469;593;145;440;1 750;461;806;2;201;502014;;;obec;;;
898;Trnavský;Dunajská Streda;Vydrany; ;Vydrany;;;;1 783;861;922;257;1 241;285;1 004;34;239;336;165;469;593;145;440;1 750;461;806;2;201;502014;;2707921;základná sídelná jednotka;;;
899;Trnavský;Dunajská Streda;Zlaté Klasy;;;m;1196;302;3 611;1 753;1 858;760;2 474;377;1 606;37;262;517;344;563;814;293;510;3 541;603;1 479;2;201;502022;;;obec;;;
900;Trnavský;Dunajská Streda;Zlaté Klasy; ;Nový Trh;;;;82;38;44;11;63;8;46;9;9;15;8;9;23;19;4;79;28;36;2;201;502022;;2733840;základná sídelná jednotka;;;
901;Trnavský;Dunajská Streda;Zlaté Klasy; ;Rastice;;;;3 529;1 715;1 814;749;2 411;369;1 560;28;253;502;336;554;791;274;506;3 462;579;1 443;2;201;502022;;2733920;základná sídelná jednotka;;;
902;Trnavský;Galanta;Abrahám;;;m;1578;71;1 120;561;559;184;702;234;537;23;152;154;125;346;365;38;323;1 124;303;492;2;202;503673;;;obec;;;
903;Trnavský;Galanta;Abrahám; ;Abrahám;;;;1 120;561;559;184;702;234;537;23;152;154;125;346;365;38;323;1 124;303;492;2;202;503673;;2000510;základná sídelná jednotka;;;
904;Trnavský;Galanta;Čierna Voda;;;;1214;117;1 424;717;707;217;979;228;734;56;203;242;104;404;418;17;398;1 395;315;605;2;202;503690;;;obec;;;
905;Trnavský;Galanta;Čierna Voda; ;Čierna Voda;;;;1 424;717;707;217;979;228;734;56;203;242;104;404;418;17;398;1 395;315;605;2;202;503690;;2096190;základná sídelná jednotka;;;
906;Trnavský;Galanta;Čierny Brod;;;m;1770;93;1 645;807;838;230;1 135;280;897;31;201;354;162;457;496;51;440;1 559;459;703;2;202;503703;;;obec;;;
907;Trnavský;Galanta;Čierny Brod; ;Čierny Brod;;;;1 173;570;603;164;806;203;629;25;148;238;116;312;344;42;299;1 120;341;502;2;202;503703;;2097670;základná sídelná jednotka;;;
908;Trnavský;Galanta;Čierny Brod; ;Heď I;;;;396;199;197;63;271;62;221;5;41;102;36;120;127;9;116;369;115;169;2;202;503703;;2097751;základná sídelná jednotka;;;
909;Trnavský;Galanta;Čierny Brod; ;Heď I;;;;76;38;38;3;58;15;47;1;12;14;10;25;25;0;25;70;24;32;2;202;503703;;2097752;základná sídelná jednotka;;;
910;Trnavský;Galanta;Čierny Brod; ;Ostrov;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;202;503703;;2098050;základná sídelná jednotka;;;
911;Trnavský;Galanta;Čierny Brod; ;Zúgov;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;202;503703;;2097910;základná sídelná jednotka;;;
912;Trnavský;Galanta;Dolná Streda;;;;1347;123;1 654;832;822;262;1 147;245;914;9;249;379;169;500;553;61;487;1 577;488;709;2;202;555789;;;obec;;;
913;Trnavský;Galanta;Dolná Streda; ;Dolná Streda;;;;1 654;832;822;262;1 147;245;914;9;249;379;169;500;553;61;487;1 577;488;709;2;202;555789;;2117700;základná sídelná jednotka;;;
914;Trnavský;Galanta;Dolné Saliby;;;m;1868;108;2 020;1 008;1 012;250;1 375;395;1 089;56;273;373;208;616;628;18;598;1 984;523;851;2;202;503746;;;obec;;;
915;Trnavský;Galanta;Dolné Saliby; ;Dolné Saliby;;;;2 020;1 008;1 012;250;1 375;395;1 089;56;273;373;208;616;628;18;598;1 984;523;851;2;202;503746;;2121211;základná sídelná jednotka;;;
916;Trnavský;Galanta;Dolný Chotár;;;;1388;26;361;193;168;56;273;32;176;9;37;65;28;102;114;54;58;323;75;166;2;202;503754;;;obec;;;
917;Trnavský;Galanta;Dolný Chotár; ;Dolný Chotár;;;;361;193;168;56;273;32;176;9;37;65;28;102;114;54;58;323;75;166;2;202;503754;;2122960;základná sídelná jednotka;;;
918;Trnavský;Galanta;Galanta;;;m;3391;444;15 052;7 235;7 817;1 944;10 331;2 777;8 363;85;1 498;3 235;2 153;1 903;5 696;4 119;1 455;15 385;3 297;7 555;2;202;503665;;;obec;;;
919;Trnavský;Galanta;Galanta;Galanta;;;;;13 969;6 698;7 271;1 803;9 570;2 596;7 761;62;1 389;2 991;2 023;1 569;5 333;4 081;1 134;14 391;3 101;7 121;2;202;503665;402953;;časť obce;;;
920;Trnavský;Galanta;Galanta;Galanta;Čipkové;;;;63;31;32;4;50;9;43;1;14;21;5;13;21;18;0;65;28;28;2;202;503665;402953;2145400;základná sídelná jednotka;;;
921;Trnavský;Galanta;Galanta;Galanta;Galanta - stred I;;;;1 946;909;1 037;269;1 305;372;1 076;6;192;404;285;151;790;716;51;1 896;636;996;2;202;503665;402953;2145070;základná sídelná jednotka;;;
922;Trnavský;Galanta;Galanta;Galanta;Galanta - stred II;;;;5 391;2 608;2 783;606;3 440;1 345;2 781;23;479;1 038;732;560;2 020;1 595;408;5 363;1 340;2 918;2;202;503665;402953;2144930;základná sídelná jednotka;;;
923;Trnavský;Galanta;Galanta;Galanta;Galanta - západ;;;;5 183;2 438;2 745;653;3 743;787;3 100;23;554;1 224;815;452;2 033;1 664;306;5 468;2 004;2 550;2;202;503665;402953;2145150;základná sídelná jednotka;;;
924;Trnavský;Galanta;Galanta;Galanta;Horný hon za šardom;;;;94;58;36;13;79;2;31;0;8;10;8;6;17;13;0;119;23;31;2;202;503665;402953;2145910;základná sídelná jednotka;;;
925;Trnavský;Galanta;Galanta;Galanta;Kamvas;;;;212;107;105;55;147;10;116;1;21;44;41;67;67;0;66;222;86;74;2;202;503665;402953;2145580;základná sídelná jednotka;;;
926;Trnavský;Galanta;Galanta;Galanta;Kolónia;;;;606;300;306;123;449;34;367;1;68;156;86;223;223;0;222;637;259;274;2;202;503665;402953;2145740;základná sídelná jednotka;;;
927;Trnavský;Galanta;Galanta;Galanta;Kostolný rad;;;;5;1;4;1;3;1;2;0;1;0;1;2;2;0;1;5;1;4;2;202;503665;402953;2145230;základná sídelná jednotka;;;
928;Trnavský;Galanta;Galanta;Galanta;Priemyselný obvod;;;;149;79;70;20;115;14;52;0;15;11;12;7;31;29;0;189;29;54;2;202;503665;402953;2145820;základná sídelná jednotka;;;
929;Trnavský;Galanta;Galanta;Galanta;Toska;;;;320;167;153;59;239;22;193;7;37;83;38;88;129;46;80;427;162;192;2;202;503665;402953;2145660;základná sídelná jednotka;;;
930;Trnavský;Galanta;Galanta;Hody;;;;;555;277;278;67;393;95;315;10;53;131;72;172;188;19;166;504;189;221;2;202;503665;418742;;časť obce;;;
931;Trnavský;Galanta;Galanta;Hody;Hody;;;;555;277;278;67;393;95;315;10;53;131;72;172;188;19;166;504;189;221;2;202;503665;418742;2145310;základná sídelná jednotka;;;
932;Trnavský;Galanta;Galanta;Javorinka;;;;;294;153;141;42;213;39;174;9;34;64;42;97;106;13;92;270;121;113;2;202;503665;416708;;časť obce;;;
933;Trnavský;Galanta;Galanta;Javorinka;Javorinka;;;;294;153;141;42;213;39;174;9;34;64;42;97;106;13;92;270;121;113;2;202;503665;416708;2146040;základná sídelná jednotka;;;
934;Trnavský;Galanta;Galanta;Nebojsa;;;;;234;107;127;32;155;47;113;4;22;49;16;65;69;6;63;220;71;100;2;202;503665;402965;;časť obce;;;
935;Trnavský;Galanta;Galanta;Nebojsa;Nebojsa;;;;234;107;127;32;155;47;113;4;22;49;16;65;69;6;63;220;71;100;2;202;503665;402965;2146120;základná sídelná jednotka;;;
936;Trnavský;Galanta;Gáň;;;;617;141;870;431;439;159;576;135;421;6;89;153;91;267;268;1;263;857;235;359;2;202;503762;;;obec;;;
937;Trnavský;Galanta;Gáň; ;Brakoň;;;;307;155;152;56;202;49;151;1;29;65;23;99;100;0;99;311;86;127;2;202;503762;;2146390;základná sídelná jednotka;;;
938;Trnavský;Galanta;Gáň; ;Gáň;;;;563;276;287;103;374;86;270;5;60;88;68;168;168;1;164;546;161;232;2;202;503762;;2146470;základná sídelná jednotka;;;
939;Trnavský;Galanta;Horné Saliby;;;m;3484;92;3 198;1 594;1 604;419;2 210;569;1 717;43;488;627;312;979;1 015;43;958;3 084;794;1 378;2;202;503771;;;obec;;;
940;Trnavský;Galanta;Horné Saliby; ;Dolné Saliby;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;202;503771;;2121212;základná sídelná jednotka;;;
941;Trnavský;Galanta;Horné Saliby; ;Horné Saliby;;;;3 102;1 545;1 557;412;2 148;542;1 674;39;478;613;306;949;985;43;929;2 998;780;1 342;2;202;503771;;2181710;základná sídelná jednotka;;;
942;Trnavský;Galanta;Horné Saliby; ;Hrušov;;;;96;49;47;7;62;27;43;4;10;14;6;30;30;0;29;86;20;36;2;202;503771;;2181890;základná sídelná jednotka;;;
943;Trnavský;Galanta;Hoste;;;;448;97;437;217;220;42;319;76;249;28;78;70;35;137;144;9;131;452;160;213;2;202;503789;;;obec;;;
944;Trnavský;Galanta;Hoste; ;Hoste;;;;437;217;220;42;319;76;249;28;78;70;35;137;144;9;131;452;160;213;2;202;503789;;2186000;základná sídelná jednotka;;;
945;Trnavský;Galanta;Jánovce;;;;359;137;492;235;257;77;329;86;269;11;40;118;58;162;162;0;158;537;191;253;2;202;503827;;;obec;;;
946;Trnavský;Galanta;Jánovce; ;Jánovce;;;;492;235;257;77;329;86;269;11;40;118;58;162;162;0;158;537;191;253;2;202;503827;;2221430;základná sídelná jednotka;;;
947;Trnavský;Galanta;Jelka;;;m;3266;124;4 042;2 008;2 034;632;2 803;607;2 026;46;467;831;371;1 111;1 156;45;1 095;4 018;1 032;1 743;2;202;503835;;;obec;;;
948;Trnavský;Galanta;Jelka; ;Ereč;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;202;503835;;2226820;základná sídelná jednotka;;;
949;Trnavský;Galanta;Jelka; ;Jelka;;;;3 428;1 708;1 720;532;2 389;507;1 707;36;397;702;308;929;971;41;915;3 408;853;1 481;2;202;503835;;2226660;základná sídelná jednotka;;;
